"","pl_name","hostname","sy_snum","sy_pnum","discoverymethod","disc_year","disc_facility","pl_orbper","pl_orbsmax","pl_radj","pl_bmasse","pl_bmassj","pl_bmassprov","pl_orbeccen","pl_insol","pl_eqt","ttv_flag","st_spectype","st_teff","st_rad","st_mass","st_met","st_logg","rastr","ra","decstr","dec","sy_dist","sy_vmagerr2","sy_kmag","sy_gaiamag","pl_pubdate"
"1","11 Com b","11 Com",2,1,"Radial Velocity",2007,"Xinglong Station",323.21,1.178,NA,4914.89849,15.464,"Msini",0.238,NA,NA,0,"G8 III",4874,13.76,2.09,-0.26,2.45,"12h20m42.91s",185.1787793,"+17d47m35.71s",17.7932516,93.1846,-0.023,2.282,4.44038,"2023-08"
"2","14 And b","14 And",1,1,"Radial Velocity",2008,"Okayama Astrophysical Observatory",186.76,0.775,NA,1131.1513,3.559,"Msini",0,NA,NA,0,"K0 III",4888,11.55,1.78,-0.21,2.55,"23h31m17.80s",352.82415,"+39d14m09.01s",39.2358367,75.4392,-0.023,2.331,4.91781,"2023-08"
"3","18 Del b","18 Del",2,1,"Radial Velocity",2008,"Okayama Astrophysical Observatory",982.85,2.476,NA,2926.24614,9.207,"Msini",0.024,NA,NA,0,"G6 III",4980,8.8,2.1,-0.06,2.87,"20h58m25.88s",314.6078375,"+10d50m20.90s",10.8391378,76.222,-0.023,3.366,5.27476,"2023-08"
"4","24 Boo b","24 Boo",1,1,"Radial Velocity",2018,"Okayama Astrophysical Observatory",30.33,0.194,NA,280.64248,0.883,"Msini",0.032,NA,NA,0,"G3 IV",4816,12.19,1.05,-0.78,2.28,"14h28m37.33s",217.1555242,"+49d50m40.74s",49.8446488,95.9863,-0.001,3.159,5.3339,"2023-08"
"5","4 UMa b","4 UMa",1,1,"Radial Velocity",2006,"Thueringer Landessternwarte Tautenburg",270.27,0.877,NA,2511.48007,7.902,"Msini",0.453,NA,NA,0,"K1 III",4415,18.11,1.23,-0.25,1.8,"08h40m12.67s",130.0528099,"+64d19m40.98s",64.3280504,73.4603,-0.023,1.734,4.23773,"2023-08"
"6","55 Cnc e","55 Cnc",2,5,"Radial Velocity",2004,"McDonald Observatory",0.73654625,NA,NA,NA,NA,"",NA,NA,NA,0,"",5234,0.94,0.91,0.31,4.45,"08h52m35.24s",133.1468373,"+28d19m47.34s",28.3298154,12.5855,-0.023,4.015,5.72973,"2023-03"
"7","6 Lyn b","6 Lyn",1,1,"Radial Velocity",2008,"Okayama Astrophysical Observatory",919.86,2.028,NA,597.83523,1.881,"Msini",0.042,NA,NA,0,"K0 IV",4941,4.94,1.32,-0.17,3.16,"06h30m47.05s",97.6960311,"+58d09m40.23s",58.1611753,54.6599,-0.023,3.701,5.60686,"2023-08"
"8","75 Cet b","75 Cet",2,2,"Radial Velocity",2012,"Okayama Astrophysical Observatory",696.62,1.912,NA,787.89662,2.479,"Msini",0.093,NA,NA,0,"G3 III",4809,10.38,1.92,0.1,2.69,"02h32m09.40s",38.0391598,"-01d02m06.10s",-1.0350269,82.9613,-0.023,3.207,5.09343,"2023-08"
"9","75 Cet c","75 Cet",2,2,"Radial Velocity",2023,"Okayama Astrophysical Observatory",2051.62,3.929,NA,289.85951,0.912,"Msini",0.023,NA,NA,0,"G3 III",4809,10.38,1.92,0.1,2.69,"02h32m09.40s",38.0391598,"-01d02m06.10s",-1.0350269,82.9613,-0.023,3.207,5.09343,"2023-08"
"10","81 Cet b","81 Cet",1,1,"Radial Velocity",2008,"Okayama Astrophysical Observatory",1005.57,2.104,NA,1051.05854,3.307,"Msini",0.037,NA,NA,0,"G5 III",4734,11.21,1.23,-0.11,2.41,"02h37m41.85s",39.4243555,"-03d23m46.90s",-3.3963607,101.26,-0.023,3.266,5.37588,"2023-08"
"11","AF Lep b","AF Lep",1,1,"Imaging",2023,"Paranal Observatory",8030,8.4,NA,1017.0509,3.2,"Mass",0.24,NA,NA,0,"F8 V",6130,1.25,1.2,0.19,NA,"05h27m04.78s",81.7699216,"-11d54m04.23s",-11.9011752,26.8564,-0.035,4.926,6.18644,"2023-02"
"14","AU Mic b","AU Mic",1,3,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",8.46308,0.0649,0.353,NA,NA,"",0.00577,21.2,600,1,"",3678,0.74,0.51,0.23,4.4,"20h45m09.87s",311.2911369,"-31d20m32.82s",-31.34245,9.7221,-0.1,4.529,7.84038,"2023-12"
"16","AU Mic c","AU Mic",1,3,"Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",18.85882,NA,NA,14.2,0.04468,"Mass",NA,NA,NA,0,"",3665,0.82,0.6,0.12,4.52,"20h45m09.87s",311.2911369,"-31d20m32.82s",-31.34245,9.7221,-0.1,4.529,7.84038,"2023-10"
"18","AU Mic d","AU Mic",1,3,"Transit Timing Variations",2023,"Multiple Observatories",12.73596,NA,NA,1.053,0.00331,"Mass",0.00305,NA,NA,0,"",3678,0.74,0.51,0.23,4.4,"20h45m09.87s",311.2911369,"-31d20m32.82s",-31.34245,9.7221,-0.1,4.529,7.84038,"2023-12"
"19","BD+63 1405 b","BD+63 1405",1,1,"Radial Velocity",2021,"Haute-Provence Observatory",1230,2.115,NA,3305.41543,10.4,"Mass",0.891,NA,NA,0,"K0",5000,NA,0.82,-0.09,4.2,"18h05m35.50s",271.3979337,"+63d40m12.02s",63.6700064,38.0473,-0.03,6.78,8.705,"2023-05"
"20","BD-17 63 b","BD-17 63",1,1,"Radial Velocity",2008,"La Silla Observatory",649,NA,NA,1366.66215,4.3,"Mass",0.28,NA,NA,0,"",NA,NA,NA,NA,NA,"00h28m33.92s",7.1413494,"-16d13m38.37s",-16.2273254,34.4603,-0.03,6.914,9.20112,"2023-06"
"21","BD-210397 b","BD-210397",1,2,"Radial Velocity",2023,"La Silla Observatory",1891,2.63,NA,214,0.7,"Msini",0.1,0.02,NA,0,"K7 V",4051,0.75,0.68,0.12,4.67,"02h13m12.58s",33.3024198,"-21d11m46.37s",-21.1962147,23.7324,-0.03,6.504,9.25962,"2023-06"
"22","BD-210397 c","BD-210397",1,2,"Radial Velocity",2023,"La Silla Observatory",6240,5.9,NA,1525.57635,4.8,"Mass",0.43,NA,NA,0,"K7 V",NA,NA,0.69,NA,NA,"02h13m12.58s",33.3024198,"-21d11m46.37s",-21.1962147,23.7324,-0.03,6.504,9.25962,"2023-08"
"24","CoRoT-11 b","CoRoT-11",1,1,"Transit",2010,"CoRoT",2.99427803,NA,NA,NA,NA,"",NA,NA,NA,0,"F6 V",6440,1.37,1.27,-0.03,4.22,"18h42m44.95s",280.6872998,"+05d56m15.57s",5.9376586,655.037,-0.114,11.248,12.841,"2023-03"
"25","CoRoT-19 b","CoRoT-19",1,1,"Transit",2011,"CoRoT",3.8971379,NA,NA,NA,NA,"",NA,NA,NA,0,"F9 V",6090,1.65,1.21,-0.02,4.07,"06h28m08.06s",97.0335983,"-00d10m14.63s",-0.1707293,790.663,-0.149,11.837,13.7831,"2023-03"
"26","CoRoT-2 b","CoRoT-2",2,1,"Transit",2008,"CoRoT",1.74299705,NA,NA,NA,NA,"",NA,NA,NA,1,"",5696,NA,NA,0.03,4.42,"19h27m06.49s",291.7770457,"+01d23m01.19s",1.3836634,213.283,-0.092,10.31,12.2489,"2023-03"
"27","DMPP-4 b","DMPP-4",1,1,"Radial Velocity",2023,"Multiple Observatories",3.4982,0.04853,NA,12.2,0.03839,"Msini",0.063,NA,NA,0,"F5-F8 V",6400,1.38,1.25,-0.007,4.24,"19h34m19.84s",293.5826648,"+51d14m08.90s",51.2358069,25.3284,-0.023,4.494,5.60037,"2023-10"
"28","EPIC 211945201 b","EPIC 211945201",1,1,"Transit",2018,"K2",19.4921498,NA,NA,NA,NA,"",NA,NA,NA,0,"G0",6025,1.38,1.18,0.1,4.25,"09h06m17.81s",136.5741931,"+19d24m07.40s",19.4020565,181.69,-0.008,8.837,10.0512,"2023-03"
"29","EPIC 220674823 b","EPIC 220674823",1,2,"Transit",2016,"K2",0.571292,0.01326,0.154,8.21,0.02583,"Mass",0,4670,2300,0,"",5532,0.99,0.95,0.11,NA,"00h52m19.21s",13.0800239,"+10d47m40.94s",10.7947051,244.59,-0.031,10.344,11.9535,"2023-04"
"30","EPIC 220674823 c","EPIC 220674823",1,2,"Transit",2016,"K2",13.3397,0.1083,0.253,8.9,0.028,"Mass",0.13,70,805,0,"",5532,0.99,0.95,0.11,NA,"00h52m19.21s",13.0800239,"+10d47m40.94s",10.7947051,244.59,-0.031,10.344,11.9535,"2023-04"
"31","EPIC 229004835 b","EPIC 229004835",1,1,"Transit",2023,"K2",16.141132,0.1237,0.208,10.4,0.03272,"Mass",0.23,69.7,804,0,"",5868,1,0.97,-0.12,NA,"12h25m56.65s",186.4860415,"-01d24m17.00s",-1.4047214,121.971,-0.006,8.725,10.0494,"2023-04"
"32","EPIC 246851721 b","EPIC 246851721",2,1,"Transit",2018,"K2",6.1802679,NA,NA,NA,NA,"",NA,NA,NA,0,"F5 V",6202,1.59,1.32,0.141,4.16,"05h15m40.76s",78.9198197,"+16d16m43.32s",16.2786991,372.632,-0.02,9.893,11.2549,"2023-03"
"33","G 9-40 b","G 9-40",1,1,"Transit",2019,"K2",5.7459996,NA,NA,NA,NA,"",NA,NA,NA,0,"M2.5 V",3348,0.31,0.29,0.04,4.93,"08h58m52.52s",134.7188514,"+21d04m29.27s",21.0747961,27.9276,-0.044,9.19,12.7331,"2023-03"
"34","GJ 1132 b","GJ 1132",1,2,"Transit",2015,"Cerro Tololo Inter-American Observatory",1.6289304,NA,NA,NA,NA,"",NA,NA,NA,0,"M4.5 V",3270,0.21,0.18,-0.12,NA,"10h14m50.18s",153.7090696,"-47d09m17.77s",-47.1549358,12.613,-0.2,8.322,12.138,"2023-03"
"35","GJ 1151 c","GJ 1151",1,1,"Radial Velocity",2023,"Multiple Facilities",389.7,0.5714,NA,10.62,0.03341,"Msini",NA,NA,NA,0,"M 4.5V",3280,0.18,0.16,-0.12,5.09,"11h50m55.32s",177.7304866,"+48d22m23.64s",48.3732334,8.03625,-0.2,7.637,11.6938,"2023-01"
"36","GJ 1214 b","GJ 1214",1,1,"Transit",2009,"MEarth Project",1.58040457,NA,NA,NA,NA,"",NA,NA,NA,0,"",3026,0.21,0.16,NA,4.99,"17h15m19.54s",258.8313991,"+04d57m38.45s",4.9606795,14.6427,-0.2,8.782,13.0089,"2023-03"
"37","GJ 1252 b","GJ 1252",1,1,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",0.5182464,NA,NA,NA,NA,"",NA,NA,NA,0,"M3",3458,0.39,0.38,0.1,NA,"20h27m42.88s",306.9286462,"-56d27m44.23s",-56.4622865,20.373,-0.2,7.915,11.2364,"2023-03"
"38","GJ 179 b","GJ 179",1,1,"Radial Velocity",2009,"W. M. Keck Observatory",2303,2.424,NA,301.93699,0.95,"Mass",0.179,NA,NA,0,"M2 V",3370,NA,0.36,0.3,4.83,"04h52m05.89s",73.0245495,"+06d28m30.84s",6.4752347,12.356,-0.041,6.942,10.7055,"2023-05"
"39","GJ 328 b","GJ 328",1,2,"Radial Velocity",2013,"McDonald Observatory",3771,4.11,NA,797.7493,2.51,"Msini",0.227,NA,NA,0,"M0.0",3897,0.63,0.65,-0.06,4.64,"08h55m07.67s",133.7819507,"+01d32m31.20s",1.5420011,20.5266,-0.1,6.352,9.2861,"2023-09"
"40","GJ 328 c","GJ 328",1,2,"Radial Velocity",2023,"Roque de los Muchachos Observatory",241.8,0.657,NA,21.4,0.06733,"Msini",NA,NA,NA,0,"M0.0",3897,0.63,0.65,-0.06,4.64,"08h55m07.67s",133.7819507,"+01d32m31.20s",1.5420011,20.5266,-0.1,6.352,9.2861,"2023-09"
"41","GJ 338 B b","GJ 338 B",2,1,"Radial Velocity",2020,"Calar Alto Observatory",24.422,0.142,NA,10.6,0.03335,"Msini",0.109,NA,NA,0,"M0 V",4014,0.58,0.64,-0.03,4.68,"09h14m22.00s",138.5916722,"+52d41m00.68s",52.6835211,6.33256,-0.1,4.136,7.04775,"2023-02"
"42","GJ 3470 b","GJ 3470",1,1,"Radial Velocity",2012,"La Silla Observatory",3.3366524,NA,NA,NA,NA,"",0.017,NA,NA,0,"M1.5",3600,0.5,0.54,NA,NA,"07h59m05.64s",119.7735021,"+15d23m28.35s",15.391209,29.4214,-0.016,7.989,11.3537,"2023-03"
"43","GJ 357 b","GJ 357",1,3,"Transit",2019,"Transiting Exoplanet Survey Satellite (TESS)",3.9306,0.036,0.107,NA,NA,"",NA,NA,518,0,"M2.5 V",3505,0.34,0.34,-0.12,4.94,"09h36m01.79s",144.0074644,"-21d39m54.23s",-21.6650634,9.44181,-0.1,6.475,9.88036,"2023-03"
"45","GJ 367 b","GJ 367",1,3,"Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",0.3219225,0.00709,0.062,0.633,0.00199,"Mass",0.06,579,1365,0,"M1.0 V",3522,0.46,0.46,-0.01,4.78,"09h44m29.15s",146.121464,"-45d46m44.46s",-45.7790165,9.41263,-0.044,5.78,9.15159,"2023-07"
"46","GJ 367 c","GJ 367",1,3,"Radial Velocity",2023,"La Silla Observatory",11.5301,NA,NA,4.13,0.01299,"Msini",0.09,NA,NA,0,"M1.0 V",3522,0.46,0.46,-0.01,4.78,"09h44m29.15s",146.121464,"-45d46m44.46s",-45.7790165,9.41263,-0.044,5.78,9.15159,"2023-07"
"47","GJ 367 d","GJ 367",1,3,"Radial Velocity",2023,"La Silla Observatory",34.369,NA,NA,6.03,0.01897,"Msini",0.14,NA,NA,0,"M1.0 V",3522,0.46,0.46,-0.01,4.78,"09h44m29.15s",146.121464,"-45d46m44.46s",-45.7790165,9.41263,-0.044,5.78,9.15159,"2023-07"
"48","GJ 3988 b","GJ 3988",1,1,"Radial Velocity",2023,"Calar Alto Observatory",6.9442,0.0405,NA,3.69,0.01161,"Msini",0,2.45,348,0,"M4.5 V",3273,0.2,0.18,-0.12,4.92,"17h03m24.09s",255.8503747,"+51d24m32.33s",51.4089795,9.9105,-0.098,7.921,11.9925,"2023-10"
"49","GJ 436 b","GJ 436",1,1,"Radial Velocity",2004,"W. M. Keck Observatory",2.64389762,NA,NA,NA,NA,"",NA,NA,NA,0,"",3350,0.46,0.45,-0.03,4.84,"11h42m12.13s",175.5505363,"+26d42m11.04s",26.7030669,9.75321,-0.1,6.073,9.57148,"2023-03"
"50","GJ 463 b","GJ 463",1,1,"Radial Velocity",2022,"Multiple Observatories",3448,3.53,NA,1144.18227,3.6,"Mass",0.09,NA,NA,0,"M3 V",3540,0.49,0.49,NA,4.86,"12h22m58.57s",185.7440496,"+64d01m56.75s",64.0324311,18.3554,-0.058,7.122,10.5462,"2023-02"
"52","GJ 649 b","GJ 649",1,1,"Radial Velocity",2009,"W. M. Keck Observatory",600.1,1.112,NA,81.99973,0.258,"Msini",0.083,NA,NA,0,"M1.0",3734,0.5,0.51,-0.15,4.76,"16h58m08.72s",254.5363221,"+25d44m31.10s",25.7419719,10.3796,-0.1,5.624,8.81875,"2023-09"
"53","GJ 724 b","GJ 724",1,1,"Radial Velocity",2023,"Calar Alto Observatory",5.101284,0.04685,NA,10.75,0.03382,"Msini",0.577,23.32,611,0,"M1.0 V",3799,0.52,0.53,-0.02,4.88,"18h40m57.21s",280.238365,"-13d22m57.00s",-13.3824997,16.9658,-0.025,6.546,9.76915,"2023-10"
"54","GJ 806 b","GJ 806",1,2,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",0.9263237,0.01406,0.119,1.9,0.00598,"Mass",NA,130,940,0,"M1.5 V",3600,0.41,0.41,-0.28,4.98,"20h45m04.73s",311.2697002,"+44d30m00.85s",44.5002351,12.0445,-0.1,6.533,9.82461,"2023-10"
"55","GJ 806 c","GJ 806",1,2,"Radial Velocity",2023,"Multiple Observatories",6.64064,0.0523,NA,5.8,0.01825,"Msini",NA,9.5,490,0,"M1.5 V",3600,0.41,0.41,-0.28,4.98,"20h45m04.73s",311.2697002,"+44d30m00.85s",44.5002351,12.0445,-0.1,6.533,9.82461,"2023-10"
"56","GJ 832 b","GJ 832",1,1,"Radial Velocity",2008,"Anglo-Australian Telescope",3610,3.53,NA,254.26273,0.8,"Mass",0.069,NA,NA,0,"M1 V",3472,NA,0.45,-0.3,4.7,"21h33m33.90s",323.3912616,"-49d00m45.06s",-49.0125169,4.96435,-0.1,4.501,7.73761,"2023-05"
"58","GJ 849 b","GJ 849",1,2,"Radial Velocity",2006,"W. M. Keck Observatory",1925.31,2.32,NA,283.82077,0.893,"Msini",0.029,NA,NA,0,"M3.5",3467,0.45,0.45,0.09,4.8,"22h09m41.52s",332.4229938,"-04d38m26.99s",-4.6408317,8.80058,-0.1,5.594,9.2245,"2023-09"
"59","GJ 849 c","GJ 849",1,2,"Radial Velocity",2014,"W. M. Keck Observatory",5990,4.95,NA,314.65012,0.99,"Msini",0.092,NA,NA,0,"M3.5",3467,0.45,0.45,0.09,4.8,"22h09m41.52s",332.4229938,"-04d38m26.99s",-4.6408317,8.80058,-0.1,5.594,9.2245,"2023-09"
"60","GJ 876 b","GJ 876",1,4,"Radial Velocity",1998,"Multiple Observatories",61.4,NA,NA,1144.18227,3.6,"Mass",0.16,NA,NA,0,"",NA,NA,NA,NA,NA,"22h53m17.75s",343.3239737,"-14d15m59.74s",-14.2665958,4.67517,-0.1,5.01,8.8753,"2023-06"
"61","GJ 9404 b","GJ 9404",1,1,"Radial Velocity",2023,"Roque de los Muchachos Observatory",13.4586,0.0943,NA,11.9,0.03744,"Msini",0.49,NA,NA,0,"",NA,NA,0.62,NA,NA,"12h19m23.33s",184.8472095,"+28d22m57.77s",28.3827126,23.8839,-0.1,6.796,9.87021,"2023-08"
"62","GJ 9827 b","GJ 9827",1,3,"Transit",2017,"K2",1.2089819,0.0188,0.141,5.14,0.01617,"Mass",0.063,318,1175,0,"",4305,0.6,0.61,-0.26,NA,"23h27m05.23s",351.7717763,"-01d17m07.24s",-1.2853435,29.661,-0.03,7.193,9.83773,"2023-04"
"64","GJ 9827 c","GJ 9827",1,3,"Transit",2017,"K2",3.6481145,NA,NA,NA,NA,"",NA,NA,NA,0,"K6 V",4255,0.65,0.66,-0.28,4.7,"23h27m05.23s",351.7717763,"-01d17m07.24s",-1.2853435,29.661,-0.03,7.193,9.83773,"2023-03"
"66","GJ 9827 d","GJ 9827",1,3,"Transit",2017,"K2",6.20147,0.0559,0.18,3.53,0.01111,"Mass",0.13,36,681,0,"",4305,0.6,0.61,-0.26,NA,"23h27m05.23s",351.7717763,"-01d17m07.24s",-1.2853435,29.661,-0.03,7.193,9.83773,"2023-04"
"67","HAT-P-1 b","HAT-P-1",2,1,"Transit",2006,"HATNet",4.46529913,NA,NA,NA,NA,"",NA,NA,NA,0,"",5975,1.14,1.13,0.13,4.38,"22h57m46.89s",344.4453632,"+38d40m29.71s",38.674919,158.979,-0.194,8.858,10.1786,"2023-03"
"68","HAT-P-11 b","HAT-P-11",1,2,"Transit",2008,"HATNet",4.88780201,NA,NA,NA,NA,"",0.2,NA,NA,0,"K4",4780,0.75,0.81,0.31,NA,"19h50m50.44s",297.7101763,"+48d04m54.71s",48.0818635,37.7647,-0.03,7.009,9.15098,"2023-03"
"69","HAT-P-12 b","HAT-P-12",1,1,"Transit",2009,"HATNet",NA,NA,1.36,NA,NA,"",NA,NA,NA,0,"",4650,0.7,0.73,-0.29,4.61,"13h57m33.27s",209.3886452,"+43d29m35.92s",43.49331,142.751,-0.057,10.108,12.4197,"2023-09"
"71","HAT-P-13 b","HAT-P-13",1,2,"Transit",2009,"HATNet",2.91624268,NA,NA,NA,NA,"",0.021,NA,NA,1,"G4",5653,1.56,1.22,0.41,4.13,"08h39m31.77s",129.8823772,"+47d21m06.87s",47.3519076,246.81,-0.008,8.975,10.4168,"2023-03"
"72","HAT-P-14 b","HAT-P-14",2,1,"Transit",2010,"HATNet",4.62766098,NA,NA,NA,NA,"",NA,NA,NA,0,"F",6600,1.47,1.39,0.11,4.25,"17h20m27.88s",260.1161719,"+38d14m31.81s",38.2421682,222.663,-0.004,8.851,9.87283,"2023-03"
"73","HAT-P-15 b","HAT-P-15",1,1,"Transit",2010,"HATNet",10.86345165,NA,NA,NA,NA,"",0.19,NA,NA,0,"G5",5568,1.08,1.01,0.22,4.38,"04h24m59.55s",66.248142,"+39d27m38.17s",39.460602,192.516,-0.036,9.641,11.7232,"2023-03"
"74","HAT-P-16 b","HAT-P-16",3,1,"Transit",2010,"HATNet",2.77596748,NA,NA,NA,NA,"",0.036,NA,NA,0,"F8",6158,1.24,1.22,0.17,4.34,"00h38m17.53s",9.5730343,"+42d27m47.15s",42.4630961,226.637,-0.008,9.553001,10.7568,"2023-03"
"75","HAT-P-17 b","HAT-P-17",1,2,"Transit",2010,"HATNet",10.33853522,NA,NA,NA,NA,"",0.342,NA,NA,0,"K",5246,0.84,0.86,0,4.52,"21h38m08.63s",324.5359781,"+30d29m17.48s",30.4881882,92.3831,-0.005,8.544,10.2743,"2023-03"
"76","HAT-P-18 b","HAT-P-18",1,1,"Transit",2010,"HATNet",5.50802941,NA,NA,NA,NA,"",NA,NA,NA,0,"K2",4803,0.75,0.77,0.1,4.57,"17h05m23.13s",256.346376,"+33d00m44.37s",33.0123251,161.4,-0.069,10.234,12.3682,"2023-03"
"77","HAT-P-19 b","HAT-P-19",1,1,"Transit",2010,"HATNet",4.00878423,NA,NA,NA,NA,"",0.07,NA,NA,0,"K1",4990,0.82,0.84,0.23,4.54,"00h38m03.98s",9.5165832,"+34d42m41.05s",34.7114025,202.078,-0.057,10.546,12.5567,"2023-03"
"78","HAT-P-2 b","HAT-P-2",1,2,"Transit",2007,"HATNet",5.63346964,NA,NA,2866.81223,9.02,"Mass",0.502,NA,NA,0,"",NA,NA,1.33,NA,NA,"16h20m36.34s",245.1514324,"+41d02m52.66s",41.0479601,127.774,-0.03,7.603,8.59842,"2023-10"
"80","HAT-P-2 c","HAT-P-2",1,2,"Radial Velocity",2023,"Multiple Observatories",8500,NA,NA,3400.76395,10.7,"Mass",0.37,NA,NA,0,"",NA,NA,1.33,NA,NA,"16h20m36.34s",245.1514324,"+41d02m52.66s",41.0479601,127.774,-0.03,7.603,8.59842,"2023-10"
"81","HAT-P-20 b","HAT-P-20",1,1,"Transit",2010,"HATNet",2.87531773,NA,NA,NA,NA,"",0.015,NA,NA,0,"K3",4595,0.69,0.76,0.35,4.63,"07h27m39.94s",111.9164295,"+24d20m10.03s",24.3361185,71.0374,-0.023,8.601,10.9903,"2023-03"
"82","HAT-P-21 b","HAT-P-21",1,1,"Transit",2010,"HATNet",4.12448852,NA,NA,NA,NA,"",0.228,NA,NA,0,"G3",5588,1.1,0.95,0.01,4.33,"11h25m05.98s",171.2749348,"+41d01m40.87s",41.0280207,277.278,-0.025,10.111,11.5583,"2023-03"
"83","HAT-P-22 b","HAT-P-22",2,1,"Transit",2010,"HATNet",3.21223218,NA,NA,NA,NA,"",0.016,NA,NA,0,"G5",5302,1.04,0.92,0.24,4.36,"10h22m43.55s",155.6814593,"+50d07m43.36s",50.1287115,81.7647,-0.004,7.837,9.51936,"2023-03"
"84","HAT-P-23 b","HAT-P-23",1,1,"Transit",2010,"HATNet",1.2128864,NA,NA,NA,NA,"",NA,NA,NA,0,"G0",5905,1.2,1.13,0.15,4.33,"20h24m29.74s",306.1239076,"+16d45m43.73s",16.7621462,364.813,-0.039,10.791,12.1741,"2023-03"
"85","HAT-P-24 b","HAT-P-24",2,1,"Transit",2010,"HATNet",3.35524439,NA,NA,NA,NA,"",0.067,NA,NA,0,"F8",6373,1.32,1.19,-0.16,4.27,"07h15m18.03s",108.8251171,"+14d15m45.38s",14.2626064,415.344,-0.022,10.543,11.6396,"2023-03"
"86","HAT-P-25 b","HAT-P-25",1,1,"Transit",2010,"HATNet",3.65281524,NA,NA,NA,NA,"",0.023,NA,NA,0,"G5",5500,0.96,1.01,0.31,4.48,"03h13m44.51s",48.4354731,"+25d11m50.48s",25.1973548,300.384,-0.092,10.815,12.8416,"2023-03"
"87","HAT-P-26 b","HAT-P-26",1,1,"Transit",2010,"HATNet",4.2345002,NA,NA,NA,NA,"",0.12,NA,NA,0,"K1",5079,0.79,0.82,-0.04,4.56,"14h12m37.57s",213.1565508,"+04d03m33.90s",4.0594175,141.837,-0.025,9.581,11.4641,"2023-03"
"89","HAT-P-27 b","HAT-P-27",2,1,"Transit",2011,"HATNet",3.03957804,NA,NA,NA,NA,"",0.08,NA,NA,0,"G8",5300,0.9,0.94,0.29,4.51,"14h51m04.16s",222.7673221,"+05d56m50.51s",5.9473626,199.173,-0.069,10.109,11.9562,"2023-03"
"90","HAT-P-28 b","HAT-P-28",1,1,"Transit",2011,"HATNet",3.25721296,NA,NA,NA,NA,"",0.05,NA,NA,0,"G3",5680,1.1,1.02,0.12,4.36,"00h52m00.22s",13.0009159,"+34d43m42.25s",34.728402,401.319,-0.114,11.104,12.8718,"2023-03"
"91","HAT-P-29 b","HAT-P-29",2,1,"Transit",2011,"HATNet",5.7233685,NA,NA,NA,NA,"",0.07,NA,NA,0,"F8",6087,1.22,1.21,0.21,4.34,"02h12m31.46s",33.1310921,"+51d46m43.59s",51.7787754,313.576,-0.021,10.297,11.7336,"2023-03"
"92","HAT-P-3 b","HAT-P-3",2,1,"Transit",2007,"HATNet",2.89973815,NA,NA,NA,NA,"",NA,NA,NA,0,"",5185,0.83,0.93,0.27,4.56,"13h44m22.56s",206.0940142,"+48d01m42.83s",48.028565,134.554,-0.021,9.448,11.2795,"2023-03"
"93","HAT-P-30 b","HAT-P-30",2,1,"Transit",2011,"HATNet",2.81060097,NA,NA,NA,NA,"",NA,NA,NA,0,"",6304,1.22,1.24,0.13,4.36,"08h15m47.96s",123.9498431,"+05d50m12.72s",5.8368669,213.985,-0.007,9.151,10.2998,"2023-03"
"94","HAT-P-31 b","HAT-P-31",1,1,"Transit",2011,"HATNet",5.0052702,NA,NA,NA,NA,"",0.245,NA,NA,0,"",6065,1.36,1.22,NA,NA,"18h06m09.04s",271.5376722,"+26d25m35.78s",26.4266061,344.05,-0.015,10.083,11.4501,"2023-03"
"95","HAT-P-32 b","HAT-P-32",2,1,"Transit",2011,"HATNet",2.1500082,NA,NA,NA,NA,"",0.16,NA,NA,0,"",6207,1.22,1.16,NA,NA,"02h04m10.26s",31.0427614,"+46d41m16.26s",46.6878512,289.205,-0.015,9.99,11.1335,"2023-03"
"96","HAT-P-33 b","HAT-P-33",2,1,"Transit",2011,"HATNet",3.47447703,NA,NA,NA,NA,"",NA,NA,NA,0,"",6446,1.64,1.38,NA,NA,"07h32m44.22s",113.1842383,"+33d50m06.08s",33.8350214,396.11,-0.014,10.004,11.0238,"2023-03"
"97","HAT-P-34 b","HAT-P-34",1,1,"Transit",2011,"HATNet",5.45264682,NA,NA,NA,NA,"",0.44,NA,NA,0,"",6442,1.53,1.39,NA,NA,"20h12m46.90s",303.1954355,"+18d06m17.20s",18.1047776,249.325,-0.007,9.247,10.1944,"2023-03"
"98","HAT-P-35 b","HAT-P-35",3,1,"Transit",2011,"HATNet",3.6466584,NA,NA,NA,NA,"",0.025,NA,NA,0,"",6096,1.44,1.24,NA,NA,"08h13m00.17s",123.250703,"+04d47m13.30s",4.7870288,506.965,-0.092,11.03,12.2802,"2023-03"
"99","HAT-P-36 b","HAT-P-36",1,1,"Transit",2011,"HATNet",1.32734681,NA,NA,NA,NA,"",0.063,NA,NA,0,"",5560,1.1,1.02,NA,NA,"12h33m03.89s",188.2662048,"+44d54m55.32s",44.9153672,294.419,-0.025,10.603,12.093,"2023-03"
