"","pl_name","hostname","sy_snum","sy_pnum","discoverymethod","disc_year","disc_facility","pl_orbper","pl_orbsmax","pl_radj","pl_bmasse","pl_bmassj","pl_bmassprov","pl_orbeccen","pl_insol","pl_eqt","ttv_flag","st_spectype","st_teff","st_rad","st_mass","st_met","st_logg","rastr","ra","decstr","dec","sy_dist","sy_vmagerr2","sy_kmag","sy_gaiamag","pl_pubdate"
"861","TOI-3714 b","TOI-3714",2,1,"Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",2.15484802,0.0263,0.994,218.98377,0.689,"Mass",0.047,57,764,0,"",3652,0.5,0.52,0.39,4.76,"04h38m12.56s",69.5523415,"+39d27m28.81s",39.4580035,112.71,-0.2,10.852,14.3107,"2023-10"
"862","TOI-3785 b","TOI-3785",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",4.6747373,0.043,0.459,14.95,0.04704,"Mass",0.11,19.1,582,0,"M2 V",3576,0.5,0.52,0.099,4.75,"08h43m36.05s",130.9002258,"+63d04m41.08s",63.0780768,79.7634,-0.101,10.165,13.6559,"2023-08"
"863","TOI-3807 b","TOI-3807",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",2.8989727,0.0421,1.65,330.54154,1.04,"Mass",0,1230,1646,0,"",5772,1.47,1.18,0.278,4.17,"09h16m27.02s",139.1125648,"+69d04m26.86s",69.0741284,421.745,-0.02,10.617,12.0338,"2023-03"
"864","TOI-3819 b","TOI-3819",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",3.2443141,0.04611,1.172,352.78953,1.11,"Mass",0,1186,1633,0,"",5859,1.54,1.24,0.273,4.16,"08h07m27.18s",121.8632568,"+29d23m19.12s",29.3886446,558.141,-0.057,11.077,12.413,"2023-03"
"865","TOI-3884 b","TOI-3884",1,1,"Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",4.5445828,0.0361,0.574,32.59,0.10254,"Mass",0.06,6.29,441,0,"",3180,0.3,0.3,0.04,4.97,"12h06m17.24s",181.5718341,"+12d30m25.29s",12.5070258,43.1448,-0.008,10.24,14.2747,"2023-06"
"866","TOI-3912 b","TOI-3912",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",3.4936264,0.0463,1.274,129.03833,0.406,"Mass",0,872.2,1512,0,"",5725,1.39,1.09,0.187,4.19,"14h23m12.36s",215.8014956,"+24d04m35.63s",24.0765639,465.992,-0.069,10.922,12.3073,"2023-03"
"867","TOI-3976 A b","TOI-3976 A",2,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",6.607662,0.0743,1.095,55.61997,0.175,"Mass",0,469,1295,0,"",5975,1.5,1.25,0.182,4.18,"14h57m25.44s",224.3560083,"+44d16m27.56s",44.2743223,516.087,-0.15,11.048,12.2192,"2023-03"
"868","TOI-3984 A b","TOI-3984 A",2,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",4.353326,0.041,0.71,44,0.14,"Mass",0.23,16.7,563,0,"M4+/-0.5",3476,0.47,0.49,0.18,4.81,"15h05m20.92s",226.3371468,"+36d47m13.11s",36.7869747,108.883,-0.117,11.052,14.6718,"2023-07"
"869","TOI-4010 b","TOI-4010",1,4,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",1.348335,0.0229,0.269,11,0.03461,"Mass",0.03,714,1441,0,"K V",4960,0.83,0.88,0.37,4.54,"01h20m51.56s",20.2148196,"+66d04m19.92s",66.0722009,177.504,-0.069,10.157,12.1216,"2023-07"
"870","TOI-4010 c","TOI-4010",1,4,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",5.414654,0.058,0.529,20.31,0.0639,"Mass",0.03,112,907,0,"K V",4960,0.83,0.88,0.37,4.54,"01h20m51.56s",20.2148196,"+66d04m19.92s",66.0722009,177.504,-0.069,10.157,12.1216,"2023-07"
"871","TOI-4010 d","TOI-4010",1,4,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",14.70886,0.113,0.551,38.15,0.12003,"Mass",0.07,30,650,0,"K V",4960,0.83,0.88,0.37,4.54,"01h20m51.56s",20.2148196,"+66d04m19.92s",66.0722009,177.504,-0.069,10.157,12.1216,"2023-07"
